,0,1,2
What is your age?,28.201570680628272,37.98825831702544,50.2828947368421
Have_your_previous_employers_provided_mental_health_benefits?_Yes,35.86387434554974,45.00978473581213,47.368421052631575
Were_you_aware_of_the_options_for_mental_health_care_provided_by_your_previous_employers?_Yes,35.20942408376963,43.444227005870836,48.026315789473685
How_many_employees_does_your_company_or_organization_have?_0,47.12041884816754,31.31115459882583,26.31578947368421
Does_your_employer_offer_resources_to_learn_more_about_mental_health_concerns_and_options_for_seeking_help?_Yes,18.979057591623036,22.113502935420744,23.684210526315788
Does_your_employer_provide_mental_health_benefits_as_part_of_healthcare_coverage?_Yes,35.07853403141361,40.31311154598826,35.526315789473685
Did_your_previous_employers_ever_formally_discuss_mental_health_(as_part_of_a_wellness_campaign_or_other_official_communication)?_Yes,18.455497382198953,22.89628180039139,19.736842105263158
Did_you_hear_of_or_observe_negative_consequences_for_co-workers_with_mental_health_issues_in_your_previous_workplaces?_No,53.79581151832461,55.77299412915851,39.473684210526315
Do_you_work_remotely?_Always,21.20418848167539,27.20156555772994,26.973684210526315
Do_you_think_that_discussing_a_mental_health_disorder_with_previous_employers_would_have_negative_consequences?_Yes,54.84293193717278,62.426614481409004,65.13157894736842
Would_you_feel_comfortable_discussing_a_mental_health_disorder_with_your_direct_supervisor(s)?_Yes,31.02094240837696,29.9412915851272,22.36842105263158
Would_you_be_willing_to_bring_up_a_physical_health_issue_with_a_potential_employer_in_an_interview?_Yes,26.83246073298429,24.46183953033268,17.105263157894736
Would_you_be_willing_to_bring_up_a_physical_health_issue_with_a_potential_employer_in_an_interview?_No,29.05759162303665,31.31115459882583,38.81578947368421
Would_you_feel_comfortable_discussing_a_mental_health_disorder_with_your_coworkers?_Yes,19.895287958115183,19.569471624266143,13.815789473684212
Would_you_feel_comfortable_discussing_a_mental_health_disorder_with_your_direct_supervisor(s)?_No,26.308900523560208,19.373776908023483,23.684210526315788
How_willing_would_you_be_to_share_with_friends_and_family_that_you_have_a_mental_illness?_Open,62.43455497382199,61.44814090019569,64.47368421052632
Do you have previous employers?_1,84.29319371727748,94.32485322896281,87.5
How_willing_would_you_be_to_share_with_friends_and_family_that_you_have_a_mental_illness?_Not open,19.50261780104712,19.765166340508806,24.342105263157894
Have_you_observed_or_experienced_an_unsupportive_or_badly_handled_response_to_a_mental_health_issue_in_your_current_or_previous_workplace?_Yes,27.486910994764397,30.919765166340508,39.473684210526315
Do_you_think_that_discussing_a_physical_health_issue_with_previous_employers_would_have_negative_consequences?_No,40.44502617801047,40.704500978473575,26.973684210526315
Do_you_think_that_team_members/co-workers_would_view_you_more_negatively_if_they_knew_you_suffered_from_a_mental_health_issue?_No,31.02094240837696,25.244618395303327,18.421052631578945
What_country_do_you_live_in?_Europe,29.84293193717277,31.115459882583167,20.394736842105264
What_country_do_you_work_in?_Europe,29.581151832460733,30.724070450097845,20.394736842105264
Do_you_feel_that_your_employer_takes_mental_health_as_seriously_as_physical_health?_No,20.94240837696335,20.54794520547945,23.684210526315788
Did_your_previous_employers_provide_resources_to_learn_more_about_mental_health_issues_and_how_to_seek_help?_Yes,25.523560209424083,33.659491193737765,35.526315789473685
Is your employer primarily a tech company/organization?_1,82.19895287958116,74.16829745596868,70.39473684210526
Would_you_feel_comfortable_discussing_a_mental_health_disorder_with_your_coworkers?_No,31.02094240837696,21.52641878669276,28.947368421052634
Does_your_employer_offer_resources_to_learn_more_about_mental_health_concerns_and_options_for_seeking_help?_No,43.324607329842934,32.4853228962818,21.052631578947366
Have_your_observations_of_how_another_individual_who_discussed_a_mental_health_disorder_made_you_less_likely_to_reveal_a_mental_health_issue_yourself__No,14.921465968586386,19.373776908023483,13.815789473684212
Is_your_anonymity_protected_if_you_choose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_provided_by_your_employer?_Yes,22.25130890052356,23.874755381604697,17.105263157894736
Inferred Tech Role_1.0,83.90052356020942,79.2563600782779,76.31578947368422
Did_you_feel_that_your_previous_employers_took_mental_health_as_seriously_as_physical_health?_No,31.282722513089006,34.05088062622309,32.23684210526316
Do_you_have_a_family_history_of_mental_illness?_No,30.89005235602094,36.986301369863014,39.473684210526315
Was_your_anonymity_protected_if_you_chose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_with_previous_employers?_No,8.638743455497382,7.8277886497064575,9.210526315789473
"If_a_mental_health_issue_prompted_you_to_request_a_medical_leave_from_work,_asking_for_that_leave_would_be:_Difficult",23.036649214659686,19.569471624266143,25.657894736842106
Do_you_think_that_discussing_a_mental_health_disorder_with_your_employer_would_have_negative_consequences?_Yes,15.706806282722512,13.894324853228962,18.421052631578945
mood-disorder,28.534031413612563,27.788649706457925,34.21052631578947
Did_you_feel_that_your_previous_employers_took_mental_health_as_seriously_as_physical_health?_Yes,31.675392670157066,34.24657534246575,33.55263157894737
anxiety-disorder,25.392670157068064,23.28767123287671,21.710526315789476
Would_you_bring_up_a_mental_health_issue_with_a_potential_employer_in_an_interview?_Yes,8.37696335078534,7.8277886497064575,3.9473684210526314
Have_your_previous_employers_provided_mental_health_benefits?_No,28.79581151832461,22.504892367906066,23.026315789473685
Do_you_feel_that_your_employer_takes_mental_health_as_seriously_as_physical_health?_Yes,25.785340314136125,24.46183953033268,17.763157894736842
Do_you_work_remotely?_Sometimes,51.30890052356021,53.42465753424658,57.23684210526315
unknown,23.56020942408377,23.483365949119374,21.710526315789476
