Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,"If yes, what condition(s) have you been diagnosed with?",Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What country do you work in?,Do you work remotely?,Inferred Tech Role,Why or why not bring up with a potential employer in an interview(mental health issue)_cleaned?,Why or why not bring up with a potential employer in an interview(physical health issue)_cleaned?
0,0,1,No,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,1,"No, none did",Not Aware,I don't know,None did,I don't know,Some of them,None of them,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No response,No,Yes,No,healthy,Yes,0,Not applicable to me,Not applicable to me,39,Male,United Kingdom,United Kingdom,Sometimes,1,no response,no response
0,0,1,No,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,"Yes, they all did",Aware,None did,Some did,"Yes, always",None of them,None of them,Some did,None of them,Maybe,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No response,Yes,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Rarely,Sometimes,29,Male,United States of America,United States of America,Never,1,while mental health has become a more prominent issue recently i feel like there is still a lot of stigma surrounding it at this point with our culture i would not bring it up i hope that within the next  years that stigma will be gone and it can be brought up safely in an interview,it would depend on the health issue if there is a health issue that would not immediately affect my job performance such as diabetes i would not bring it up during the interview if it was something more severe such as narcolepsy i might bring it up depending on how controlled it was
0,0,1,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,"No, none did",Not Aware,None did,Some did,I don't know,I don't know,Some of them,I don't know,Some of them,Yes,Yes,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,Maybe,No,healthy,No,1,Not applicable to me,Not applicable to me,38,Male,United Kingdom,United Kingdom,Always,1,stigma mainly,they would provable need to know to judge if i can do my job or not
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Not Aware,None did,None did,I don't know,Some of them,Some of them,I don't know,Some of them,Yes,Maybe,"Yes, I think it would",Maybe,Neutral,No,No response,No,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Sometimes,Sometimes,43,Male,United Kingdom,United Kingdom,Sometimes,0,would not if i was not  sure that the disclosure would not affect my application,old back injury doesnt cause me many issues but occasionally impacts my ability to work at desk
0,0,0,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,No,1,I don't know,Not Aware,Some did,None did,I don't know,Some of them,Some of them,Some did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,anxiety-disorder | stress-response-syndromes,Yes,1,Sometimes,Sometimes,43,Female,United States of America,United States of America,Sometimes,1,i dont know,depending on the interview stage and whether i required an accommodation i would
0,1,1,Yes,No,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Yes,No,Yes,1,"No, none did",Aware,None did,None did,I don't know,"Yes, all of them",Some of them,None did,Some of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",No,No,No,Yes,anxiety-disorder | stress-response-syndromes | substance-use-disorder,No,1,Not applicable to me,Often,42,Male,United Kingdom,United Kingdom,Sometimes,1,it would depend on the field  what i knew of the employer,if it would potentially affect my ability to do the job or might require special equipmentetc then it would only be fair and honest
0,0,1,I don't know,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,Some did,Aware,None did,Some did,I don't know,None of them,None of them,Some did,None of them,Yes,Yes,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,United States of America,Sometimes,1,i want to gauge their ability to support understand and empathize with my situation,i want to gauge their ability to support this issue
0,1,1,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,1,Some did,Aware,Some did,Some did,Sometimes,Some of them,Some of them,Some did,Some of them,No,No,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,anxiety-disorder | substance-use-disorder,Yes,1,Sometimes,Often,37,Female,United States of America,United States of America,Always,1,same reason,i feel its irrelevant
0,0,0,I don't know,No,No,I don't know,Very difficult,Yes,Yes,Yes,Maybe,No,No,1,I don't know,Not Aware,Some did,None did,I don't know,"Yes, all of them","Yes, all of them",None did,None of them,Maybe,Maybe,Maybe,"Yes, they do",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,mood-disorder,Yes,1,Rarely,Often,44,Female,United States of America,United States of America,Sometimes,1,only if i felt i required accommodation even then reluctantly because it makes me a less attractive candidate,makes me a less attractive candidate
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Aware,None did,None did,I don't know,Some of them,Some of them,I don't know,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,No response,Yes,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Rarely,Often,30,Male,United States of America,United States of America,Always,1,it really depends on the person the employer and how comfortable i felt discussing the issue,generally speaking and this isnt always the case physical health issues dont carry the same stigma as mental ones
